,label,email,length,body_text_clean,body_text_tokenized,body_text_nonstop,body_text_stemmed,body_text_lemmatized,body_text_length,body_text_clean_length,num_characters,num_words,num_sentences
550,ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",281,Imagine you finally get to sink into that bath after I have put you through your paces maybe even having you eat me for a while before I left  But also imagine the feel of that cage on your cock surrounded by the bath water reminding you always who owns you  Enjoy my cuck,"['Imagine', 'you', 'finally', 'get', 'to', 'sink', 'into', 'that', 'bath', 'after', 'I', 'have', 'put', 'you', 'through', 'your', 'paces', 'maybe', 'even', 'having', 'you', 'eat', 'me', 'for', 'a', 'while', 'before', 'I', 'left', 'But', 'also', 'imagine', 'the', 'feel', 'of', 'that', 'cage', 'on', 'your', 'cock', 'surrounded', 'by', 'the', 'bath', 'water', 'reminding', 'you', 'always', 'who', 'owns', 'you', 'Enjoy', 'my', 'cuck']","['Imagine', 'finally', 'get', 'sink', 'bath', 'I', 'put', 'paces', 'maybe', 'even', 'eat', 'I', 'left', 'But', 'also', 'imagine', 'feel', 'cage', 'cock', 'surrounded', 'bath', 'water', 'reminding', 'always', 'owns', 'Enjoy', 'cuck']","['imagin', 'final', 'get', 'sink', 'bath', 'i', 'put', 'pace', 'mayb', 'even', 'eat', 'i', 'left', 'but', 'also', 'imagin', 'feel', 'cage', 'cock', 'surround', 'bath', 'water', 'remind', 'alway', 'own', 'enjoy', 'cuck']","['imagin', 'final', 'get', 'sink', 'bath', 'i', 'put', 'pace', 'mayb', 'even', 'eat', 'i', 'left', 'but', 'also', 'imagin', 'feel', 'cage', 'cock', 'surround', 'bath', 'water', 'remind', 'alway', 'own', 'enjoy', 'cuck']",281,272,281,59,3
551,ham,"Hurry up, I've been weed-deficient for like three days",54,Hurry up Ive been weeddeficient for like three days,"['Hurry', 'up', 'Ive', 'been', 'weeddeficient', 'for', 'like', 'three', 'days']","['Hurry', 'Ive', 'weeddeficient', 'like', 'three', 'days']","['hurri', 'ive', 'weeddefici', 'like', 'three', 'day']","['hurri', 'ive', 'weeddefici', 'like', 'three', 'day']",54,51,54,11,1
552,ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo",120,Sure if I get an acknowledgement from you that its astoundingly tactless and generally faggy to demand a blood oath fo,"['Sure', 'if', 'I', 'get', 'an', 'acknowledgement', 'from', 'you', 'that', 'its', 'astoundingly', 'tactless', 'and', 'generally', 'faggy', 'to', 'demand', 'a', 'blood', 'oath', 'fo']","['Sure', 'I', 'get', 'acknowledgement', 'astoundingly', 'tactless', 'generally', 'faggy', 'demand', 'blood', 'oath', 'fo']","['sure', 'i', 'get', 'acknowledg', 'astoundingli', 'tactless', 'gener', 'faggi', 'demand', 'blood', 'oath', 'fo']","['sure', 'i', 'get', 'acknowledg', 'astoundingli', 'tactless', 'gener', 'faggi', 'demand', 'blood', 'oath', 'fo']",120,118,120,23,1
553,ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,138,Ok Every night take a warm bath drink a cup of milk and youll see a work of magic You still need to loose weight Just so that you know,"['Ok', 'Every', 'night', 'take', 'a', 'warm', 'bath', 'drink', 'a', 'cup', 'of', 'milk', 'and', 'youll', 'see', 'a', 'work', 'of', 'magic', 'You', 'still', 'need', 'to', 'loose', 'weight', 'Just', 'so', 'that', 'you', 'know']","['Ok', 'Every', 'night', 'take', 'warm', 'bath', 'drink', 'cup', 'milk', 'youll', 'see', 'work', 'magic', 'You', 'still', 'need', 'loose', 'weight', 'Just', 'know']","['ok', 'everi', 'night', 'take', 'warm', 'bath', 'drink', 'cup', 'milk', 'youll', 'see', 'work', 'magic', 'you', 'still', 'need', 'loos', 'weight', 'just', 'know']","['ok', 'everi', 'night', 'take', 'warm', 'bath', 'drink', 'cup', 'milk', 'youll', 'see', 'work', 'magic', 'you', 'still', 'need', 'loo', 'weight', 'just', 'know']",138,134,138,33,3
554,ham,IÛ÷ll have a look at the frying pan in case itÛ÷s cheap or a book perhaps. No thatÛ÷s silly a frying pan isnÛ÷t likely to be a book,135,IÛ÷ll have a look at the frying pan in case itÛ÷s cheap or a book perhaps No thatÛ÷s silly a frying pan isnÛ÷t likely to be a book,"['I', 'Û', 'll', 'have', 'a', 'look', 'at', 'the', 'frying', 'pan', 'in', 'case', 'it', 'Û', 's', 'cheap', 'or', 'a', 'book', 'perhaps', 'No', 'that', 'Û', 's', 'silly', 'a', 'frying', 'pan', 'isn', 'Û', 't', 'likely', 'to', 'be', 'a', 'book']","['I', 'Û', 'look', 'frying', 'pan', 'case', 'Û', 'cheap', 'book', 'perhaps', 'No', 'Û', 'silly', 'frying', 'pan', 'Û', 'likely', 'book']","['i', 'û', 'look', 'fri', 'pan', 'case', 'û', 'cheap', 'book', 'perhap', 'no', 'û', 'silli', 'fri', 'pan', 'û', 'like', 'book']","['i', 'û', 'look', 'fri', 'pan', 'case', 'û', 'cheap', 'book', 'perhap', 'no', 'û', 'silli', 'fri', 'pan', 'û', 'like', 'book']",135,134,135,29,2
555,ham,O. Well uv causes mutations. Sunscreen is like essential thesedays,66,O Well uv causes mutations Sunscreen is like essential thesedays,"['O', 'Well', 'uv', 'causes', 'mutations', 'Sunscreen', 'is', 'like', 'essential', 'thesedays']","['O', 'Well', 'uv', 'causes', 'mutations', 'Sunscreen', 'like', 'essential', 'thesedays']","['o', 'well', 'uv', 'caus', 'mutat', 'sunscreen', 'like', 'essenti', 'theseday']","['o', 'well', 'uv', 'caus', 'mutat', 'sunscreen', 'like', 'essenti', 'theseday']",66,64,66,12,3
556,ham,Having lunch:)you are not in online?why?,40,Having lunchyou are not in onlinewhy,"['Having', 'lunchyou', 'are', 'not', 'in', 'onlinewhy']","['Having', 'lunchyou', 'onlinewhy']","['have', 'lunchyou', 'onlinewhi']","['have', 'lunchyou', 'onlinewhi']",40,36,40,12,1
557,ham,I know that my friend already told that.,40,I know that my friend already told that,"['I', 'know', 'that', 'my', 'friend', 'already', 'told', 'that']","['I', 'know', 'friend', 'already', 'told']","['i', 'know', 'friend', 'alreadi', 'told']","['i', 'know', 'friend', 'alreadi', 'told']",40,39,40,9,1
558,ham,Hi Princess! Thank you for the pics. You are very pretty. How are you?,70,Hi Princess Thank you for the pics You are very pretty How are you,"['Hi', 'Princess', 'Thank', 'you', 'for', 'the', 'pics', 'You', 'are', 'very', 'pretty', 'How', 'are', 'you']","['Hi', 'Princess', 'Thank', 'pics', 'You', 'pretty', 'How']","['hi', 'princess', 'thank', 'pic', 'you', 'pretti', 'how']","['hi', 'princess', 'thank', 'pic', 'you', 'pretti', 'how']",70,66,70,18,4
559,ham,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ",160,Aiyo U always c our ex one I dunno abt mei she haven reply First time u reply so fast Y so lucky not workin huh got bao by ur sugardad ahgee ,"['Aiyo', 'U', 'always', 'c', 'our', 'ex', 'one', 'I', 'dunno', 'abt', 'mei', 'she', 'haven', 'reply', 'First', 'time', 'u', 'reply', 'so', 'fast', 'Y', 'so', 'lucky', 'not', 'workin', 'huh', 'got', 'bao', 'by', 'ur', 'sugardad', 'ahgee', '']","['Aiyo', 'U', 'always', 'c', 'ex', 'one', 'I', 'dunno', 'abt', 'mei', 'reply', 'First', 'time', 'u', 'reply', 'fast', 'Y', 'lucky', 'workin', 'huh', 'got', 'bao', 'ur', 'sugardad', 'ahgee', '']","['aiyo', 'u', 'alway', 'c', 'ex', 'one', 'i', 'dunno', 'abt', 'mei', 'repli', 'first', 'time', 'u', 'repli', 'fast', 'y', 'lucki', 'workin', 'huh', 'got', 'bao', 'ur', 'sugardad', 'ahge', '']","['aiyo', 'u', 'alway', 'c', 'ex', 'one', 'i', 'dunno', 'abt', 'mei', 'repli', 'first', 'time', 'u', 'repli', 'fast', 'y', 'lucki', 'workin', 'huh', 'got', 'bao', 'ur', 'sugardad', 'ahge', '']",160,141,160,41,2
560,ham,Hi msg me:)i'm in office..,26,Hi msg meim in office,"['Hi', 'msg', 'meim', 'in', 'office']","['Hi', 'msg', 'meim', 'office']","['hi', 'msg', 'meim', 'offic']","['hi', 'msg', 'meim', 'offic']",26,21,26,10,1
561,ham,Thanx 4 e brownie it's v nice...,32,Thanx 4 e brownie its v nice,"['Thanx', '4', 'e', 'brownie', 'its', 'v', 'nice']","['Thanx', '4', 'e', 'brownie', 'v', 'nice']","['thanx', '4', 'e', 'browni', 'v', 'nice']","['thanx', '4', 'e', 'browni', 'v', 'nice']",32,28,32,9,1
562,ham,Geeeee ... I love you so much I can barely stand it,51,Geeeee  I love you so much I can barely stand it,"['Geeeee', 'I', 'love', 'you', 'so', 'much', 'I', 'can', 'barely', 'stand', 'it']","['Geeeee', 'I', 'love', 'much', 'I', 'barely', 'stand']","['geeeee', 'i', 'love', 'much', 'i', 'bare', 'stand']","['geeeee', 'i', 'love', 'much', 'i', 'bare', 'stand']",51,48,51,12,2
563,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm ,160,GENT We are trying to contact you Last weekends draw shows that you won a å£1000 prize GUARANTEED Call 09064012160 Claim Code K52 Valid 12hrs only 150ppm ,"['GENT', 'We', 'are', 'trying', 'to', 'contact', 'you', 'Last', 'weekends', 'draw', 'shows', 'that', 'you', 'won', 'a', 'å', '1000', 'prize', 'GUARANTEED', 'Call', '09064012160', 'Claim', 'Code', 'K52', 'Valid', '12hrs', 'only', '150ppm', '']","['GENT', 'We', 'trying', 'contact', 'Last', 'weekends', 'draw', 'shows', 'å', '1000', 'prize', 'GUARANTEED', 'Call', '09064012160', 'Claim', 'Code', 'K52', 'Valid', '12hrs', '150ppm', '']","['gent', 'we', 'tri', 'contact', 'last', 'weekend', 'draw', 'show', 'å', '1000', 'prize', 'guarante', 'call', '09064012160', 'claim', 'code', 'k52', 'valid', '12hr', '150ppm', '']","['gent', 'we', 'tri', 'contact', 'last', 'weekend', 'draw', 'show', 'å', '1000', 'prize', 'guarante', 'call', '09064012160', 'claim', 'code', 'k52', 'valid', '12hr', '150ppm', '']",160,154,160,33,7
564,ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...",146,Fuck babe  I miss you already you know  Cant you let me send you some money towards your net  I need you  I want you  I crave you ,"['Fuck', 'babe', 'I', 'miss', 'you', 'already', 'you', 'know', 'Cant', 'you', 'let', 'me', 'send', 'you', 'some', 'money', 'towards', 'your', 'net', 'I', 'need', 'you', 'I', 'want', 'you', 'I', 'crave', 'you', '']","['Fuck', 'babe', 'I', 'miss', 'already', 'know', 'Cant', 'let', 'send', 'money', 'towards', 'net', 'I', 'need', 'I', 'want', 'I', 'crave', '']","['fuck', 'babe', 'i', 'miss', 'alreadi', 'know', 'cant', 'let', 'send', 'money', 'toward', 'net', 'i', 'need', 'i', 'want', 'i', 'crave', '']","['fuck', 'babe', 'i', 'miss', 'alreadi', 'know', 'cant', 'let', 'send', 'money', 'toward', 'net', 'i', 'need', 'i', 'want', 'i', 'crave', '']",146,130,146,36,6
565,ham,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",103,Ill call u 2mrw at ninish with my address that icky American freek wont stop callin me 2 bad Jen k eh,"['Ill', 'call', 'u', '2mrw', 'at', 'ninish', 'with', 'my', 'address', 'that', 'icky', 'American', 'freek', 'wont', 'stop', 'callin', 'me', '2', 'bad', 'Jen', 'k', 'eh']","['Ill', 'call', 'u', '2mrw', 'ninish', 'address', 'icky', 'American', 'freek', 'wont', 'stop', 'callin', '2', 'bad', 'Jen', 'k', 'eh']","['ill', 'call', 'u', '2mrw', 'ninish', 'address', 'icki', 'american', 'freek', 'wont', 'stop', 'callin', '2', 'bad', 'jen', 'k', 'eh']","['ill', 'call', 'u', '2mrw', 'ninish', 'address', 'icki', 'american', 'freek', 'wont', 'stop', 'callin', '2', 'bad', 'jen', 'k', 'eh']",103,101,103,24,1
566,ham,Oooh bed ridden ey? What are YOU thinking of?,45,Oooh bed ridden ey What are YOU thinking of,"['Oooh', 'bed', 'ridden', 'ey', 'What', 'are', 'YOU', 'thinking', 'of']","['Oooh', 'bed', 'ridden', 'ey', 'What', 'YOU', 'thinking']","['oooh', 'bed', 'ridden', 'ey', 'what', 'you', 'think']","['oooh', 'bed', 'ridden', 'ey', 'what', 'you', 'think']",45,43,45,11,2
567,ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",142,So anyways you can just go to your gym or whatever my love smiles I hope your ok and having a good day babe  I miss you so much already,"['So', 'anyways', 'you', 'can', 'just', 'go', 'to', 'your', 'gym', 'or', 'whatever', 'my', 'love', 'smiles', 'I', 'hope', 'your', 'ok', 'and', 'having', 'a', 'good', 'day', 'babe', 'I', 'miss', 'you', 'so', 'much', 'already']","['So', 'anyways', 'go', 'gym', 'whatever', 'love', 'smiles', 'I', 'hope', 'ok', 'good', 'day', 'babe', 'I', 'miss', 'much', 'already']","['so', 'anyway', 'go', 'gym', 'whatev', 'love', 'smile', 'i', 'hope', 'ok', 'good', 'day', 'babe', 'i', 'miss', 'much', 'alreadi']","['so', 'anyway', 'go', 'gym', 'whatev', 'love', 'smile', 'i', 'hope', 'ok', 'good', 'day', 'babe', 'i', 'miss', 'much', 'alreadi']",142,135,142,35,2
568,ham,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,92,Love it Daddy will make you scream with pleasure I am going to slap your ass with my dick,"['Love', 'it', 'Daddy', 'will', 'make', 'you', 'scream', 'with', 'pleasure', 'I', 'am', 'going', 'to', 'slap', 'your', 'ass', 'with', 'my', 'dick']","['Love', 'Daddy', 'make', 'scream', 'pleasure', 'I', 'going', 'slap', 'ass', 'dick']","['love', 'daddi', 'make', 'scream', 'pleasur', 'i', 'go', 'slap', 'ass', 'dick']","['love', 'daddi', 'make', 'scream', 'pleasur', 'i', 'go', 'slap', 'as', 'dick']",92,89,92,22,3
569,ham,WOT U WANNA DO THEN MISSY?,26,WOT U WANNA DO THEN MISSY,"['WOT', 'U', 'WANNA', 'DO', 'THEN', 'MISSY']","['WOT', 'U', 'WANNA', 'DO', 'THEN', 'MISSY']","['wot', 'u', 'wanna', 'do', 'then', 'missi']","['wot', 'u', 'wanna', 'do', 'then', 'missi']",26,25,26,8,1
570,ham,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...,134,Yar lor wait 4 my mum 2 finish sch then have lunch lor I whole morning stay at home clean my room now my room quite clean Hee,"['Yar', 'lor', 'wait', '4', 'my', 'mum', '2', 'finish', 'sch', 'then', 'have', 'lunch', 'lor', 'I', 'whole', 'morning', 'stay', 'at', 'home', 'clean', 'my', 'room', 'now', 'my', 'room', 'quite', 'clean', 'Hee']","['Yar', 'lor', 'wait', '4', 'mum', '2', 'finish', 'sch', 'lunch', 'lor', 'I', 'whole', 'morning', 'stay', 'home', 'clean', 'room', 'room', 'quite', 'clean', 'Hee']","['yar', 'lor', 'wait', '4', 'mum', '2', 'finish', 'sch', 'lunch', 'lor', 'i', 'whole', 'morn', 'stay', 'home', 'clean', 'room', 'room', 'quit', 'clean', 'hee']","['yar', 'lor', 'wait', '4', 'mum', '2', 'finish', 'sch', 'lunch', 'lor', 'i', 'whole', 'morn', 'stay', 'home', 'clean', 'room', 'room', 'quit', 'clean', 'hee']",134,125,134,31,2
571,ham,Do you know where my lab goggles went,37,Do you know where my lab goggles went,"['Do', 'you', 'know', 'where', 'my', 'lab', 'goggles', 'went']","['Do', 'know', 'lab', 'goggles', 'went']","['do', 'know', 'lab', 'goggl', 'went']","['do', 'know', 'lab', 'goggl', 'went']",37,37,37,8,1
572,ham,Can you open the door?,22,Can you open the door,"['Can', 'you', 'open', 'the', 'door']","['Can', 'open', 'door']","['can', 'open', 'door']","['can', 'open', 'door']",22,21,22,6,1
573,ham,Waiting for your call.,22,Waiting for your call,"['Waiting', 'for', 'your', 'call']","['Waiting', 'call']","['wait', 'call']","['wait', 'call']",22,21,22,5,1
574,ham,Nope i waiting in sch 4 daddy... ,33,Nope i waiting in sch 4 daddy ,"['Nope', 'i', 'waiting', 'in', 'sch', '4', 'daddy', '']","['Nope', 'waiting', 'sch', '4', 'daddy', '']","['nope', 'wait', 'sch', '4', 'daddi', '']","['nope', 'wait', 'sch', '4', 'daddi', '']",33,30,33,8,1
575,spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",69,You have won 1000 cash or a 2000 prize To claim call09050000327,"['You', 'have', 'won', '1000', 'cash', 'or', 'a', '2000', 'prize', 'To', 'claim', 'call09050000327']","['You', '1000', 'cash', '2000', 'prize', 'To', 'claim', 'call09050000327']","['you', '1000', 'cash', '2000', 'prize', 'to', 'claim', 'call09050000327']","['you', '1000', 'cash', '2000', 'prize', 'to', 'claim', 'call09050000327']",69,63,69,16,2
576,ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",109,Im tired of arguing with you about this week after week Do what you want and from now on ill do the same,"['Im', 'tired', 'of', 'arguing', 'with', 'you', 'about', 'this', 'week', 'after', 'week', 'Do', 'what', 'you', 'want', 'and', 'from', 'now', 'on', 'ill', 'do', 'the', 'same']","['Im', 'tired', 'arguing', 'week', 'week', 'Do', 'want', 'ill']","['im', 'tire', 'argu', 'week', 'week', 'do', 'want', 'ill']","['im', 'tire', 'argu', 'week', 'week', 'do', 'want', 'ill']",109,104,109,28,2
577,ham,ÌÏ wait 4 me in sch i finish ard 5..,36,ÌÏ wait 4 me in sch i finish ard 5,"['ÌÏ', 'wait', '4', 'me', 'in', 'sch', 'i', 'finish', 'ard', '5']","['ÌÏ', 'wait', '4', 'sch', 'finish', 'ard', '5']","['ìï', 'wait', '4', 'sch', 'finish', 'ard', '5']","['ìï', 'wait', '4', 'sch', 'finish', 'ard', '5']",36,34,36,11,1
578,spam,"our mobile number has won å£5000, to claim calls us back or ring the claims hot line on 09050005321.",100,our mobile number has won å£5000 to claim calls us back or ring the claims hot line on 09050005321,"['our', 'mobile', 'number', 'has', 'won', 'å', '5000', 'to', 'claim', 'calls', 'us', 'back', 'or', 'ring', 'the', 'claims', 'hot', 'line', 'on', '09050005321']","['mobile', 'number', 'å', '5000', 'claim', 'calls', 'us', 'back', 'ring', 'claims', 'hot', 'line', '09050005321']","['mobil', 'number', 'å', '5000', 'claim', 'call', 'us', 'back', 'ring', 'claim', 'hot', 'line', '09050005321']","['mobil', 'number', 'å', '5000', 'claim', 'call', 'u', 'back', 'ring', 'claim', 'hot', 'line', '09050005321']",100,98,100,21,1
579,ham,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",140,Arngd marriage is while u r walkin unfortuntly a snake bites u bt love marriage is dancing in frnt of d snake amp sayin Bite me bite me,"['Arngd', 'marriage', 'is', 'while', 'u', 'r', 'walkin', 'unfortuntly', 'a', 'snake', 'bites', 'u', 'bt', 'love', 'marriage', 'is', 'dancing', 'in', 'frnt', 'of', 'd', 'snake', 'amp', 'sayin', 'Bite', 'me', 'bite', 'me']","['Arngd', 'marriage', 'u', 'r', 'walkin', 'unfortuntly', 'snake', 'bites', 'u', 'bt', 'love', 'marriage', 'dancing', 'frnt', 'snake', 'amp', 'sayin', 'Bite', 'bite']","['arngd', 'marriag', 'u', 'r', 'walkin', 'unfortuntli', 'snake', 'bite', 'u', 'bt', 'love', 'marriag', 'danc', 'frnt', 'snake', 'amp', 'sayin', 'bite', 'bite']","['arngd', 'marriag', 'u', 'r', 'walkin', 'unfortuntli', 'snake', 'bite', 'u', 'bt', 'love', 'marriag', 'danc', 'frnt', 'snake', 'amp', 'sayin', 'bite', 'bite']",140,135,140,32,1
580,ham,Huh so early.. Then Ì_ having dinner outside izzit?,51,Huh so early Then Ì having dinner outside izzit,"['Huh', 'so', 'early', 'Then', 'Ì', 'having', 'dinner', 'outside', 'izzit']","['Huh', 'early', 'Then', 'Ì', 'dinner', 'outside', 'izzit']","['huh', 'earli', 'then', 'ì', 'dinner', 'outsid', 'izzit']","['huh', 'earli', 'then', 'ì', 'dinner', 'outsid', 'izzit']",51,47,51,11,1
581,ham,Ok anyway no need to change with what you said,46,Ok anyway no need to change with what you said,"['Ok', 'anyway', 'no', 'need', 'to', 'change', 'with', 'what', 'you', 'said']","['Ok', 'anyway', 'need', 'change', 'said']","['ok', 'anyway', 'need', 'chang', 'said']","['ok', 'anyway', 'need', 'chang', 'said']",46,46,46,10,1
582,spam,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,149,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,"['We', 'tried', 'to', 'contact', 'you', 're', 'your', 'reply', 'to', 'our', 'offer', 'of', '750', 'mins', '150', 'textand', 'a', 'new', 'video', 'phone', 'call', '08002988890', 'now', 'or', 'reply', 'for', 'free', 'delivery', 'tomorrow']","['We', 'tried', 'contact', 'reply', 'offer', '750', 'mins', '150', 'textand', 'new', 'video', 'phone', 'call', '08002988890', 'reply', 'free', 'delivery', 'tomorrow']","['we', 'tri', 'contact', 'repli', 'offer', '750', 'min', '150', 'textand', 'new', 'video', 'phone', 'call', '08002988890', 'repli', 'free', 'deliveri', 'tomorrow']","['we', 'tri', 'contact', 'repli', 'offer', '750', 'min', '150', 'textand', 'new', 'video', 'phone', 'call', '08002988890', 'repli', 'free', 'deliveri', 'tomorrow']",149,149,149,29,1
583,ham,my ex-wife was not able to have kids. Do you want kids one day?,63,my exwife was not able to have kids Do you want kids one day,"['my', 'exwife', 'was', 'not', 'able', 'to', 'have', 'kids', 'Do', 'you', 'want', 'kids', 'one', 'day']","['exwife', 'able', 'kids', 'Do', 'want', 'kids', 'one', 'day']","['exwif', 'abl', 'kid', 'do', 'want', 'kid', 'one', 'day']","['exwif', 'abl', 'kid', 'do', 'want', 'kid', 'one', 'day']",63,60,63,16,2
584,ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,95,So hows scotland Hope you are not over showing your JJC tendencies Take care Live the dream,"['So', 'hows', 'scotland', 'Hope', 'you', 'are', 'not', 'over', 'showing', 'your', 'JJC', 'tendencies', 'Take', 'care', 'Live', 'the', 'dream']","['So', 'hows', 'scotland', 'Hope', 'showing', 'JJC', 'tendencies', 'Take', 'care', 'Live', 'dream']","['so', 'how', 'scotland', 'hope', 'show', 'jjc', 'tendenc', 'take', 'care', 'live', 'dream']","['so', 'how', 'scotland', 'hope', 'show', 'jjc', 'tendenc', 'take', 'care', 'live', 'dream']",95,91,95,21,4
585,ham,Tell them u have a headache and just want to use 1 hour of sick time.,69,Tell them u have a headache and just want to use 1 hour of sick time,"['Tell', 'them', 'u', 'have', 'a', 'headache', 'and', 'just', 'want', 'to', 'use', '1', 'hour', 'of', 'sick', 'time']","['Tell', 'u', 'headache', 'want', 'use', '1', 'hour', 'sick', 'time']","['tell', 'u', 'headach', 'want', 'use', '1', 'hour', 'sick', 'time']","['tell', 'u', 'headach', 'want', 'use', '1', 'hour', 'sick', 'time']",69,68,69,17,1
586,ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... ",110,I dun thk ill quit yet Hmmm can go jazz  Yogasana oso can We can go meet em after our lessons den ,"['I', 'dun', 'thk', 'ill', 'quit', 'yet', 'Hmmm', 'can', 'go', 'jazz', 'Yogasana', 'oso', 'can', 'We', 'can', 'go', 'meet', 'em', 'after', 'our', 'lessons', 'den', '']","['I', 'dun', 'thk', 'ill', 'quit', 'yet', 'Hmmm', 'go', 'jazz', 'Yogasana', 'oso', 'We', 'go', 'meet', 'em', 'lessons', 'den', '']","['i', 'dun', 'thk', 'ill', 'quit', 'yet', 'hmmm', 'go', 'jazz', 'yogasana', 'oso', 'we', 'go', 'meet', 'em', 'lesson', 'den', '']","['i', 'dun', 'thk', 'ill', 'quit', 'yet', 'hmmm', 'go', 'jazz', 'yogasana', 'oso', 'we', 'go', 'meet', 'em', 'lesson', 'den', '']",110,98,110,28,2
587,ham,"\Pete can you please ring meive hardly gotany credit\""""",55,Pete can you please ring meive hardly gotany credit,"['Pete', 'can', 'you', 'please', 'ring', 'meive', 'hardly', 'gotany', 'credit']","['Pete', 'please', 'ring', 'meive', 'hardly', 'gotany', 'credit']","['pete', 'pleas', 'ring', 'meiv', 'hardli', 'gotani', 'credit']","['pete', 'plea', 'ring', 'meiv', 'hardli', 'gotani', 'credit']",55,51,55,11,1
588,ham,Ya srsly better than yi tho,27,Ya srsly better than yi tho,"['Ya', 'srsly', 'better', 'than', 'yi', 'tho']","['Ya', 'srsly', 'better', 'yi', 'tho']","['ya', 'srsli', 'better', 'yi', 'tho']","['ya', 'srsli', 'better', 'yi', 'tho']",27,27,27,6,1
589,ham,"I'm in a meeting, call me later at",34,Im in a meeting call me later at,"['Im', 'in', 'a', 'meeting', 'call', 'me', 'later', 'at']","['Im', 'meeting', 'call', 'later']","['im', 'meet', 'call', 'later']","['im', 'meet', 'call', 'later']",34,32,34,10,1
590,spam,"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",127,For ur chance to win a å£250 wkly shopping spree TXT SHOP to 80878 TsCs wwwtxt2shopcom custcare 08715705022 1x150pwk,"['For', 'ur', 'chance', 'to', 'win', 'a', 'å', '250', 'wkly', 'shopping', 'spree', 'TXT', 'SHOP', 'to', '80878', 'TsCs', 'wwwtxt2shopcom', 'custcare', '08715705022', '1x150pwk']","['For', 'ur', 'chance', 'win', 'å', '250', 'wkly', 'shopping', 'spree', 'TXT', 'SHOP', '80878', 'TsCs', 'wwwtxt2shopcom', 'custcare', '08715705022', '1x150pwk']","['for', 'ur', 'chanc', 'win', 'å', '250', 'wkli', 'shop', 'spree', 'txt', 'shop', '80878', 'tsc', 'wwwtxt2shopcom', 'custcar', '08715705022', '1x150pwk']","['for', 'ur', 'chanc', 'win', 'å', '250', 'wkli', 'shop', 'spree', 'txt', 'shop', '80878', 'tsc', 'wwwtxt2shopcom', 'custcar', '08715705022', '1x150pwk']",127,116,127,26,2
591,spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,142,You have been specially selected to receive a 2000 pound award Call 08712402050 BEFORE the lines close Cost 10ppm 16 TCs apply AG Promo,"['You', 'have', 'been', 'specially', 'selected', 'to', 'receive', 'a', '2000', 'pound', 'award', 'Call', '08712402050', 'BEFORE', 'the', 'lines', 'close', 'Cost', '10ppm', '16', 'TCs', 'apply', 'AG', 'Promo']","['You', 'specially', 'selected', 'receive', '2000', 'pound', 'award', 'Call', '08712402050', 'BEFORE', 'lines', 'close', 'Cost', '10ppm', '16', 'TCs', 'apply', 'AG', 'Promo']","['you', 'special', 'select', 'receiv', '2000', 'pound', 'award', 'call', '08712402050', 'befor', 'line', 'close', 'cost', '10ppm', '16', 'tc', 'appli', 'ag', 'promo']","['you', 'special', 'select', 'receiv', '2000', 'pound', 'award', 'call', '08712402050', 'befor', 'line', 'close', 'cost', '10ppm', '16', 'tc', 'appli', 'ag', 'promo']",142,135,142,31,6
